"","Taxa","Group","Cruise","Event","Date","Net.number","D.N","Open.time","Close.Time","Open.depth","Close.depth","depth.covered","distance.travelled..km.","volume.filtered.in.m3..assuming.mouth.of.25m2.","X","mass..g.","N","Dry.mass....wet.mass.","mean.Individual.wet.mass..g.","mean.individual.dry.mass..g.","total.wet.mass..g.m.3.","total.dry.mass..g.","total.dry.mass..g.m.3.","total.density..ind.m.3.","total.density..ind.m.2.","Lat","Lon"
"1","Diphyes sp. 2","Jelly","JR200",17,"16/03/2009",1,"N","02:52","03:22",405,196,209,2.12,53000,NA,0.5,3,4.56,0.166666667,0.0076,9.43e-06,0.0228,4.3e-07,5.66e-05,0.011830189,-60.49768,-48.2024
"2","Thysanoessa sp.","Euphausiid","JR200",17,"16/03/2009",1,"N","02:52","03:22",405,196,209,2.12,53000,NA,0.5,7,25,0.071428571,0.017857143,9.43e-06,0.125,2.36e-06,0.000132075,0.027603774,-60.49768,-48.2024
"3","Diphyes sp. 1","Jelly","JR200",17,"16/03/2009",1,"N","02:52","03:22",405,196,209,2.12,53000,NA,8,19,4.56,0.421052632,0.0192,0.000150943,0.3648,6.88e-06,0.000358491,0.074924528,-60.49768,-48.2024
"4","Salpa thompsoni","Jelly","JR200",17,"16/03/2009",1,"N","02:52","03:22",405,196,209,2.12,53000,NA,29,40,4.71,0.725,0.0341475,0.00054717,1.3659,2.58e-05,0.000754717,0.157735849,-60.49768,-48.2024
"5","Calycopsis borgrevichi","Jelly","JR200",17,"16/03/2009",1,"N","02:52","03:22",405,196,209,2.12,53000,NA,4,5,4.66,0.8,0.03728,7.55e-05,0.1864,3.52e-06,9.43e-05,0.019716981,-60.49768,-48.2024
"6","Euphausia superba","Euphausiid","JR200",17,"16/03/2009",1,"N","02:52","03:22",405,196,209,2.12,53000,NA,0.5,1,25,0.5,0.125,9.43e-06,0.125,2.36e-06,1.89e-05,0.003943396,-60.49768,-48.2024
"7","Bathylagus sp.","Fish","JR200",17,"16/03/2009",1,"N","02:52","03:22",405,196,209,2.12,53000,NA,3,1,13.53333333,3,0.406,5.66e-05,0.406,7.66e-06,1.89e-05,0.003943396,-60.49768,-48.2024
"8","Protomyctophum choriodon","Fish","JR200",17,"16/03/2009",1,"N","02:52","03:22",405,196,209,2.12,53000,NA,5,1,26.6,5,1.33,9.43e-05,1.33,2.51e-05,1.89e-05,0.003943396,-60.49768,-48.2024
"9","Electrona antarctica","Fish","JR200",17,"16/03/2009",1,"N","02:52","03:22",405,196,209,2.12,53000,NA,249,31,30.9,8.032258065,2.481967742,0.004698113,76.941,0.001451717,0.000584906,0.122245283,-60.49768,-48.2024
"10","Gymnoscopelus braueri","Fish","JR200",17,"16/03/2009",1,"N","02:52","03:22",405,196,209,2.12,53000,NA,422,41,34,10.29268293,3.499512195,0.007962264,143.48,0.00270717,0.000773585,0.161679245,-60.49768,-48.2024
"11","Paradiplospinus gracilis","Fish","JR200",17,"16/03/2009",1,"N","02:52","03:22",405,196,209,2.12,53000,NA,160,2,30.9,80,24.72,0.003018868,49.44,0.00093283,3.77e-05,0.007886792,-60.49768,-48.2024
"12","Diphyes sp. 1","Jelly","JR200",17,"16/03/2009",2,"N","03:23","03:57",202,12,190,2.56,64000,NA,0.5,1,4.56,0.5,0.0228,7.81e-06,0.0228,3.56e-07,1.5625e-05,0.00296875,-60.49768,-48.2024
"13","Euphausia frigida","Euphausiid","JR200",17,"16/03/2009",2,"N","03:23","03:57",202,12,190,2.56,64000,NA,0.5,5,25,0.1,0.025,7.81e-06,0.125,1.95e-06,7.8125e-05,0.01484375,-60.49768,-48.2024
"14","Thysanoessa sp.","Euphausiid","JR200",17,"16/03/2009",2,"N","03:23","03:57",202,12,190,2.56,64000,NA,2,16,25,0.125,0.03125,3.125e-05,0.5,7.81e-06,0.00025,0.0475,-60.49768,-48.2024
"15","Cyllopus lucasi","Amphipod","JR200",17,"16/03/2009",2,"N","03:23","03:57",202,12,190,2.56,64000,NA,0.5,3,23.86,0.166666667,0.039766667,7.81e-06,0.1193,1.86e-06,4.6875e-05,0.00890625,-60.49768,-48.2024
"16","Euphausidae spp.","Euphausiid","JR200",17,"16/03/2009",2,"N","03:23","03:57",202,12,190,2.56,64000,NA,0.5,3,25,0.166666667,0.041666667,7.81e-06,0.125,1.95e-06,4.6875e-05,0.00890625,-60.49768,-48.2024
"17","Salpa thompsoni","Jelly","JR200",17,"16/03/2009",2,"N","03:23","03:57",202,12,190,2.56,64000,NA,4177,2987,4.71,1.398393036,0.065864312,0.065265625,196.7367,0.003074011,0.046671875,8.86765625,-60.49768,-48.2024
"18","Galiteuthis glacialis","Squid","JR200",17,"16/03/2009",2,"N","03:23","03:57",202,12,190,2.56,64000,NA,0.5,1,14.79,0.5,0.07395,7.81e-06,0.07395,1.16e-06,1.5625e-05,0.00296875,-60.49768,-48.2024
"19","Calycopsis borgrevichi","Jelly","JR200",17,"16/03/2009",2,"N","03:23","03:57",202,12,190,2.56,64000,NA,33,16,4.66,2.0625,0.0961125,0.000515625,1.5378,2.4e-05,0.00025,0.0475,-60.49768,-48.2024
"20","Euphausia superba","Euphausiid","JR200",17,"16/03/2009",2,"N","03:23","03:57",202,12,190,2.56,64000,NA,10,12,25,0.833333333,0.208333333,0.00015625,2.5,3.91e-05,0.0001875,0.035625,-60.49768,-48.2024
"21","Electrona antarctica","Fish","JR200",17,"16/03/2009",2,"N","03:23","03:57",202,12,190,2.56,64000,NA,313,64,30.9,4.890625,1.511203125,0.004890625,96.717,0.001511203,0.001,0.19,-60.49768,-48.2024
"22","Protomyctophum choriodon","Fish","JR200",17,"16/03/2009",2,"N","03:23","03:57",202,12,190,2.56,64000,NA,7,1,26.6,7,1.862,0.000109375,1.862,2.91e-05,1.5625e-05,0.00296875,-60.49768,-48.2024
"23","Gymnoscopelus fraseri","Fish","JR200",17,"16/03/2009",2,"N","03:23","03:57",202,12,190,2.56,64000,NA,6,1,32.46,6,1.9476,9.375e-05,1.9476,3.04e-05,1.5625e-05,0.00296875,-60.49768,-48.2024
"24","Gymnoscopelus braueri","Fish","JR200",17,"16/03/2009",2,"N","03:23","03:57",202,12,190,2.56,64000,NA,31,5,34,6.2,2.108,0.000484375,10.54,0.000164688,7.8125e-05,0.01484375,-60.49768,-48.2024
"25","Notolepis coatsi","Fish","JR200",17,"16/03/2009",2,"N","03:23","03:57",202,12,190,2.56,64000,NA,130,2,19.2,65,12.48,0.00203125,24.96,0.00039,3.125e-05,0.0059375,-60.49768,-48.2024
"26","Gymnoscopelus nicholsi","Fish","JR200",17,"16/03/2009",2,"N","03:23","03:57",202,12,190,2.56,64000,NA,33,1,40.4,33,13.332,0.000515625,13.332,0.000208313,1.5625e-05,0.00296875,-60.49768,-48.2024
"27","Paradiplospinus gracilis","Fish","JR200",17,"16/03/2009",2,"N","03:23","03:57",202,12,190,2.56,64000,NA,170,2,30.9,85,26.265,0.00265625,52.53,0.000820781,3.125e-05,0.0059375,-60.49768,-48.2024
"28","Diphyes sp. 2","Jelly","JR200",18,"16/03/2009",1,"N","05:18","05:48",1007.7,697.4,310.3,2.2,55000,NA,0.5,2,4.56,0.25,0.0114,9.09e-06,0.0228,4.15e-07,3.64e-05,0.011283636,-60.48179,-48.3522
"29","Euphausia frigida","Euphausiid","JR200",18,"16/03/2009",1,"N","05:18","05:48",1007.7,697.4,310.3,2.2,55000,NA,0.5,9,25,0.055555556,0.013888889,9.09e-06,0.125,2.27e-06,0.000163636,0.050776364,-60.48179,-48.3522
"30","Salpa thompsoni","Jelly","JR200",18,"16/03/2009",1,"N","05:18","05:48",1007.7,697.4,310.3,2.2,55000,NA,3,8,4.71,0.375,0.0176625,5.45e-05,0.1413,2.57e-06,0.000145455,0.045134545,-60.48179,-48.3522
"31","Thysanoessa sp.","Euphausiid","JR200",18,"16/03/2009",1,"N","05:18","05:48",1007.7,697.4,310.3,2.2,55000,NA,0.5,7,25,0.071428571,0.017857143,9.09e-06,0.125,2.27e-06,0.000127273,0.039492727,-60.48179,-48.3522
"32","Clear Jellyfish (unknown)","Jelly","JR200",18,"16/03/2009",1,"N","05:18","05:48",1007.7,697.4,310.3,2.2,55000,NA,0.5,1,4.5,0.5,0.0225,9.09e-06,0.0225,4.09e-07,1.82e-05,0.005641818,-60.48179,-48.3522
"33","Euphausidae spp.","Euphausiid","JR200",18,"16/03/2009",1,"N","05:18","05:48",1007.7,697.4,310.3,2.2,55000,NA,1,11,25,0.090909091,0.022727273,1.82e-05,0.25,4.55e-06,2e-04,0.06206,-60.48179,-48.3522
"34","Diphyes sp. 1","Jelly","JR200",18,"16/03/2009",1,"N","05:18","05:48",1007.7,697.4,310.3,2.2,55000,NA,3,5,4.56,0.6,0.02736,5.45e-05,0.1368,2.49e-06,9.09e-05,0.028209091,-60.48179,-48.3522
"35","Squid (unknown)","squid","JR200",18,"16/03/2009",1,"N","05:18","05:48",1007.7,697.4,310.3,2.2,55000,NA,0.5,2,14.79,0.25,0.036975,9.09e-06,0.07395,1.34e-06,3.64e-05,0.011283636,-60.48179,-48.3522
"36","Sagitta sp.","Chaet","JR200",18,"16/03/2009",1,"N","05:18","05:48",1007.7,697.4,310.3,2.2,55000,NA,6,16,13,0.375,0.04875,0.000109091,0.78,1.42e-05,0.000290909,0.090269091,-60.48179,-48.3522
"37","Pasiphaea scotiae","Deca","JR200",18,"16/03/2009",1,"N","05:18","05:48",1007.7,697.4,310.3,2.2,55000,NA,1,2,13,0.5,0.065,1.82e-05,0.13,2.36e-06,3.64e-05,0.011283636,-60.48179,-48.3522
"38","Acanthephyra sp.","Deca","JR200",18,"16/03/2009",1,"N","05:18","05:48",1007.7,697.4,310.3,2.2,55000,NA,0.5,1,13,0.5,0.065,9.09e-06,0.065,1.18e-06,1.82e-05,0.005641818,-60.48179,-48.3522
"39","Calycopsis borgrevichi","Jelly","JR200",18,"16/03/2009",1,"N","05:18","05:48",1007.7,697.4,310.3,2.2,55000,NA,6,4,4.66,1.5,0.0699,0.000109091,0.2796,5.08e-06,7.27e-05,0.022567273,-60.48179,-48.3522
"40","Brown jellyfish (unknown)","Jelly","JR200",18,"16/03/2009",1,"N","05:18","05:48",1007.7,697.4,310.3,2.2,55000,NA,2,1,4.5,2,0.09,3.64e-05,0.09,1.64e-06,1.82e-05,0.005641818,-60.48179,-48.3522
"41","Notolepis sp. (larvae)","Fish","JR200",18,"16/03/2009",1,"N","05:18","05:48",1007.7,697.4,310.3,2.2,55000,NA,0.5,1,19.2,0.5,0.096,9.09e-06,0.096,1.75e-06,1.82e-05,0.005641818,-60.48179,-48.3522
"42","Cyphocaris richardi","Amphipod","JR200",18,"16/03/2009",1,"N","05:18","05:48",1007.7,697.4,310.3,2.2,55000,NA,4,8,23.86,0.5,0.1193,7.27e-05,0.9544,1.74e-05,0.000145455,0.045134545,-60.48179,-48.3522
"43","Mysid (unknown)","Euphausiid","JR200",18,"16/03/2009",1,"N","05:18","05:48",1007.7,697.4,310.3,2.2,55000,NA,0.5,1,25,0.5,0.125,9.09e-06,0.125,2.27e-06,1.82e-05,0.005641818,-60.48179,-48.3522
"44","Gennadus sp.","Dec","JR200",18,"16/03/2009",1,"N","05:18","05:48",1007.7,697.4,310.3,2.2,55000,NA,1,1,13,1,0.13,1.82e-05,0.13,2.36e-06,1.82e-05,0.005641818,-60.48179,-48.3522
"45","Euphausia superba","Euphausiid","JR200",18,"16/03/2009",1,"N","05:18","05:48",1007.7,697.4,310.3,2.2,55000,NA,3,3,25,1,0.25,5.45e-05,0.75,1.36e-05,5.45e-05,0.016925455,-60.48179,-48.3522
"46","Cyclothone sp.","Fish","JR200",18,"16/03/2009",1,"N","05:18","05:48",1007.7,697.4,310.3,2.2,55000,NA,10,7,33.05,1.428571429,0.472142857,0.000181818,3.305,6.01e-05,0.000127273,0.039492727,-60.48179,-48.3522
"47","Gigantocypris sp.","Ostracod","JR200",18,"16/03/2009",1,"N","05:18","05:48",1007.7,697.4,310.3,2.2,55000,NA,2,1,24,2,0.48,3.64e-05,0.48,8.73e-06,1.82e-05,0.005641818,-60.48179,-48.3522
"48","Bathylagus sp.","Fish","JR200",18,"16/03/2009",1,"N","05:18","05:48",1007.7,697.4,310.3,2.2,55000,NA,214,21,13.53333333,10.19047619,1.379111111,0.003890909,28.96133333,0.00052657,0.000381818,0.118478182,-60.48179,-48.3522
"49","Electrona antarctica","Fish","JR200",18,"16/03/2009",1,"N","05:18","05:48",1007.7,697.4,310.3,2.2,55000,NA,48,7,30.9,6.857142857,2.118857143,0.000872727,14.832,0.000269673,0.000127273,0.039492727,-60.48179,-48.3522
"50","Gymnoscopelus braueri","Fish","JR200",18,"16/03/2009",1,"N","05:18","05:48",1007.7,697.4,310.3,2.2,55000,NA,14,2,34,7,2.38,0.000254545,4.76,8.65e-05,3.64e-05,0.011283636,-60.48179,-48.3522
"51","Atolla wyvillei","Jelly","JR200",18,"16/03/2009",1,"N","05:18","05:48",1007.7,697.4,310.3,2.2,55000,NA,341,7,4.92,48.71428571,2.396742857,0.0062,16.7772,0.00030504,0.000127273,0.039492727,-60.48179,-48.3522
"52","Gymnoscopelus opisthopterus","Fish","JR200",18,"16/03/2009",1,"N","05:18","05:48",1007.7,697.4,310.3,2.2,55000,NA,14,1,19.9,14,2.786,0.000254545,2.786,5.07e-05,1.82e-05,0.005641818,-60.48179,-48.3522
"53","Euphausia frigida","Euphausiid","JR200",18,"16/03/2009",2,"N","05:49","06:20",703.1,399.9,303.2,2.15,53750,NA,0.5,22,25,0.022727273,0.005681818,9.3e-06,0.125,2.33e-06,0.000409302,0.124100465,-60.48179,-48.3522
"54","Diphyes sp. 1","Jelly","JR200",18,"16/03/2009",2,"N","05:49","06:20",703.1,399.9,303.2,2.15,53750,NA,0.5,3,4.56,0.166666667,0.0076,9.3e-06,0.0228,4.24e-07,5.58e-05,0.016922791,-60.48179,-48.3522
"55","Calycopsis borgrevichi","Jelly","JR200",18,"16/03/2009",2,"N","05:49","06:20",703.1,399.9,303.2,2.15,53750,NA,0.5,1,4.66,0.5,0.0233,9.3e-06,0.0233,4.33e-07,1.86e-05,0.00564093,-60.48179,-48.3522
"56","Thysanoessa sp.","Euphausiid","JR200",18,"16/03/2009",2,"N","05:49","06:20",703.1,399.9,303.2,2.15,53750,NA,21,182,25,0.115384615,0.028846154,0.000390698,5.25,9.77e-05,0.003386047,1.026649302,-60.48179,-48.3522
"57","Allurotheuthis antarcticus","Squid","JR200",18,"16/03/2009",2,"N","05:49","06:20",703.1,399.9,303.2,2.15,53750,NA,0.5,1,14.79,0.5,0.07395,9.3e-06,0.07395,1.38e-06,1.86e-05,0.00564093,-60.48179,-48.3522
"58","Salpa thompsoni","Jelly","JR200",18,"16/03/2009",2,"N","05:49","06:20",703.1,399.9,303.2,2.15,53750,NA,121,72,4.71,1.680555556,0.079154167,0.002251163,5.6991,0.00010603,0.001339535,0.406146977,-60.48179,-48.3522
"59","Sagitta sp.","Chaet","JR200",18,"16/03/2009",2,"N","05:49","06:20",703.1,399.9,303.2,2.15,53750,NA,27,44,13,0.613636364,0.079772727,0.000502326,3.51,6.53e-05,0.000818605,0.24820093,-60.48179,-48.3522
"60","Notolepis sp. (larvae)","Fish","JR200",18,"16/03/2009",2,"N","05:49","06:20",703.1,399.9,303.2,2.15,53750,NA,3,7,19.2,0.428571429,0.082285714,5.58e-05,0.576,1.07e-05,0.000130233,0.039486512,-60.48179,-48.3522
"61","Cyllopus lucasi","Amphipod","JR200",18,"16/03/2009",2,"N","05:49","06:20",703.1,399.9,303.2,2.15,53750,NA,0.5,1,23.86,0.5,0.1193,9.3e-06,0.1193,2.22e-06,1.86e-05,0.00564093,-60.48179,-48.3522
"62","Pasiphaea scotiae","Deca","JR200",18,"16/03/2009",2,"N","05:49","06:20",703.1,399.9,303.2,2.15,53750,NA,1,1,13,1,0.13,1.86e-05,0.13,2.42e-06,1.86e-05,0.00564093,-60.48179,-48.3522
"63","Euphausia superba","Euphausiid","JR200",18,"16/03/2009",2,"N","05:49","06:20",703.1,399.9,303.2,2.15,53750,NA,5,7,25,0.714285714,0.178571429,9.3e-05,1.25,2.33e-05,0.000130233,0.039486512,-60.48179,-48.3522
"64","Cyphocaris richardi","Amphipod","JR200",18,"16/03/2009",2,"N","05:49","06:20",703.1,399.9,303.2,2.15,53750,NA,8,10,23.86,0.8,0.19088,0.000148837,1.9088,3.55e-05,0.000186047,0.056409302,-60.48179,-48.3522
"65","Clear Jellyfish (unknown)","Jelly","JR200",18,"16/03/2009",2,"N","05:49","06:20",703.1,399.9,303.2,2.15,53750,NA,5,1,4.5,5,0.225,9.3e-05,0.225,4.19e-06,1.86e-05,0.00564093,-60.48179,-48.3522
